element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,gA(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ca,2,"=""211.276""","=""0.010""","=""""","=""5.8e+08""",C,"=""3.150984""","=""9.017486""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.5d""","=""2D""","=""5/2""",,"=""T8043""","=""L7323""",
Ca,2,"=""211.315""","=""0.010""","=""""","=""6.4e+07""",C,"=""3.150984""","=""9.016407""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.5d""","=""2D""","=""3/2""",,"=""T8043""","=""L7323""",
C,2,"=""211.472""","=""0.004""","=""41h""","=""5.97e+07""",B,"=""23.118841""","=""28.980146""","=""2s.2p.(3P*).3p""","=""4P""","=""5/2""","=""2s.2p.(3P*).6s""","=""4P*""","=""5/2""",,"=""T5109LS""","=""L1176""",
O,2,"=""212.3202""","=""0.0010""","=""8""","=""2.00e+07""",C,"=""26.2254001""","=""32.063101""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""2P""","=""3/2""",,"=""T5723LS""","=""L10549""",
O,2,"=""213.1818""","=""0.0010""","=""12""","=""1.78e+08""",C,"=""26.2490334""","=""32.063101""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).5s""","=""2P""","=""3/2""",,"=""T5723LS""","=""L10549""",
O,2,"=""213.1997""","=""0.0010""","=""10""","=""9.88e+07""",C,"=""26.2254001""","=""32.038913""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""2P""","=""1/2""",,"=""T5723LS""","=""L10549""",
C,2,"=""213.7417""","=""0.0009""","=""140h""","=""1.49e+08""",B,"=""16.3317419""","=""22.130595""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s2.5d""","=""2D""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""213.7897""","=""0.0009""","=""220h""","=""2.67e+08""",B,"=""16.3331238""","=""22.130626""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.5d""","=""2D""","=""5/2""",,"=""T5109LS""","=""L1176""",
Ca,1,"=""215.080""","=""0.010""","=""2""","=""1.8e+07""",C,"=""0.0000000""","=""5.7627624""","=""3p6.4s2""","=""1S""","=""0""","=""3p6.4s.8p""","=""1P*""","=""1""",,"=""T793n""","=""L6097""",
C,2,"=""215.470""","=""0.004""","=""37h""","=""3.74e+07""",B,"=""22.898766""","=""28.65107""","=""2s.2p.(3P*).3p""","=""4S""","=""3/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""1/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""215.539""","=""0.004""","=""37h""","=""7.48e+07""",B,"=""22.898766""","=""28.64930""","=""2s.2p.(3P*).3p""","=""4S""","=""3/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""215.628""","=""0.004""","=""48h""","=""1.12e+08""",B,"=""22.898766""","=""28.64691""","=""2s.2p.(3P*).3p""","=""4S""","=""3/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""5/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""217.3848""","=""0.0007""","=""190""","=""9.24e+07""",B,"=""14.4488269""","=""20.150477""","=""2s2.3s""","=""2S""","=""1/2""","=""2s2.4p""","=""2P*""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""217.4168""","=""0.0007""","=""120""","=""4.62e+07""",B,"=""14.4488269""","=""20.149652""","=""2s2.3s""","=""2S""","=""1/2""","=""2s2.4p""","=""2P*""","=""1/2""",,"=""T5109LS""","=""L1176""",
O,2,"=""218.2580""","=""0.0010""","=""4""","=""6.90e+07""",C,"=""26.3047208""","=""31.983597""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""5/2""",,"=""T5723LS""","=""L10621""",
C,2,"=""218.7480""","=""0.0020""","=""44""","=""2.71e+07""",B,"=""20.919793""","=""26.585924""","=""2p3""","=""2P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""2P""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""218.8390""","=""0.0020""","=""57""","=""1.36e+08""",B+,"=""20.922118""","=""26.585924""","=""2p3""","=""2P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""2P""","=""3/2""",,"=""T9221""","=""L1176""",
C,2,"=""218.8720""","=""0.0020""","=""44""","=""5.40e+07""",B,"=""20.919793""","=""26.582750""","=""2p3""","=""2P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""2P""","=""1/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""218.9620""","=""0.0020""","=""44""","=""2.70e+07""",B,"=""20.922118""","=""26.582750""","=""2p3""","=""2P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""2P""","=""1/2""",,"=""T5109LS""","=""L1176""",
O,2,"=""219.0481""","=""0.0010""","=""4""","=""4.52e+07""",C,"=""26.3047208""","=""31.963118""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""3/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""219.5464""","=""0.0010""","=""3""","=""2.26e+07""",C,"=""26.3047208""","=""31.950200""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""1/2""",,"=""T5723LS""","=""L10621""",
Ca,2,"=""219.779""","=""0.010""","=""""","=""6.2e+07""",C,"=""3.123349""","=""8.762908""","=""3p6.4p""","=""2P*""","=""1/2""","=""3p6.6s""","=""2S""","=""1/2""",,"=""T8043""","=""L7323""",
