element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,gA(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
O,2,"=""312.2521""","=""0.0010""","=""17""","=""1.68e+08""",C,"=""25.6495863""","=""29.619076""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""5/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""312.3921""","=""0.0010""","=""13""","=""3.10e+07""",C,"=""25.6313478""","=""29.599076""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""3/2""",,"=""T5723LS""","=""L10621""",
C,2,"=""312.4133""","=""0.0022""","=""28hqs""","=""8.04e+07""",B,"=""23.385281""","=""27.352706""","=""2s.2p.(3P*).3p""","=""2D""","=""5/2""","=""2s.2p.(3P*).4d""","=""2D*""","=""5/2""",,"=""T5109LS""","=""L1176""",
O,2,"=""312.9334""","=""0.0010""","=""17""","=""1.98e+08""",C,"=""25.6382319""","=""29.599076""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""3/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""313.4218""","=""0.0010""","=""17""","=""1.54e+08""",C,"=""25.6313478""","=""29.586034""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""1/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""313.4720""","=""0.0010""","=""22""","=""7.38e+08""",C,"=""25.6650368""","=""29.619076""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""5/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""313.8335""","=""0.0010""","=""19""","=""3.86e+08""",C,"=""25.6495863""","=""29.599076""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""3/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""313.9680""","=""0.0010""","=""17""","=""1.53e+08""",C,"=""25.6382319""","=""29.586034""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""1/2""",,"=""T5723LS""","=""L10621""",
Ca,2,"=""315.887""","=""0.010""","=""170""","=""1.2e+09""",C,"=""3.123349""","=""7.047169""","=""3p6.4p""","=""2P*""","=""1/2""","=""3p6.4d""","=""2D""","=""3/2""",,"=""T8043""","=""L7323""",
C,2,"=""316.5467""","=""0.0007""","=""150""","=""8.60e+07""",B,"=""18.654858""","=""22.570504""","=""2p3""","=""2D*""","=""5/2""","=""2s.2p.(3P*).3p""","=""2P""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""316.5974""","=""0.0007""","=""41""","=""9.56e+06""",B,"=""18.655493""","=""22.570504""","=""2p3""","=""2D*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2P""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""316.7931""","=""0.0007""","=""110""","=""4.76e+07""",B,"=""18.655493""","=""22.568086""","=""2p3""","=""2D*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2P""","=""1/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""316.966""","=""0.004""","=""21H,u""","=""4.86e+08""",C+,"=""24.789558""","=""28.69999""","=""2s.2p.(3P*).3d""","=""2F*""","=""5/2""","=""2s.2p.(3P*).5f""","=""2G""","=""7/2""",,"=""T10528""","=""L1176""",
C,2,"=""317.003""","=""0.004""","=""27H,u""","=""6.97e+08""",C+,"=""24.794748""","=""28.70472""","=""2s.2p.(3P*).3d""","=""2F*""","=""7/2""","=""2s.2p.(3P*).5f""","=""2G""","=""9/2""",,"=""T10528""","=""L1176""",
C,2,"=""317.262""","=""0.009""","=""20H""","=""7.8e+07""",C,"=""24.789558""","=""28.696305""","=""2s.2p.(3P*).3d""","=""2F*""","=""5/2""","=""2s.2p.(3P*).5f""","=""4G""","=""7/2""",,"=""T10528""","=""L1176""",
C,2,"=""317.458""","=""0.009""","=""16H""","=""4.7e+07""",C,"=""24.794748""","=""28.69905""","=""2s.2p.(3P*).3d""","=""2F*""","=""7/2""","=""2s.2p.(3P*).5f""","=""4G""","=""9/2""",,"=""T10528""","=""L1176""",
Ca,2,"=""317.933""","=""0.010""","=""180""","=""2.2e+09""",C,"=""3.150984""","=""7.049551""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.4d""","=""2D""","=""5/2""",,"=""u7,LS""","=""L7323""",
Ca,2,"=""318.128""","=""0.010""","=""150""","=""2.3e+08""",C,"=""3.150984""","=""7.047169""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.4d""","=""2D""","=""3/2""",,"=""T8043""","=""L7323""",
O,2,"=""327.0855""","=""0.0010""","=""16""","=""4.20e+08""",C,"=""28.358142""","=""32.147624""","=""2s2.2p2.(1D).3p""","=""2F*""","=""5/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""3/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""327.3437""","=""0.0010""","=""17""","=""5.99e+08""",C,"=""28.361069""","=""32.147566""","=""2s2.2p2.(1D).3p""","=""2F*""","=""7/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""5/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""327.7566""","=""0.0010""","=""17""","=""1.21e+08""",B,"=""25.8373471""","=""29.619076""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""5/2""",,"=""T6632""","=""L10621""",
O,2,"=""328.7472""","=""0.0010""","=""21""","=""2.95e+08""",B,"=""25.8487467""","=""29.619076""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""5/2""",,"=""T6632""","=""L10621""",
O,2,"=""329.4992""","=""0.0010""","=""14""","=""4.00e+07""",B,"=""25.8373471""","=""29.599076""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""3/2""",,"=""T6632""","=""L10621""",
O,2,"=""330.1407""","=""0.0010""","=""10""","=""2.12e+07""",B,"=""25.8316247""","=""29.586034""","=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""1/2""",,"=""T6632""","=""L10621""",
O,2,"=""330.5005""","=""0.0010""","=""17""","=""1.16e+08""",B,"=""25.8487467""","=""29.599076""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""3/2""",,"=""T6632""","=""L10621""",
O,2,"=""330.6449""","=""0.0010""","=""17""","=""1.11e+08""",B,"=""25.8373471""","=""29.586034""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""1/2""",,"=""T6632""","=""L10621""",
Ca,1,"=""334.451""","=""0.010""","=""10""","=""4.53e+07""",C,"=""1.8793402""","=""5.5853732""","=""3p6.4s.4p""","=""3P*""","=""0""","=""3p6.4s.6d""","=""3D""","=""1""",,"=""T539n,T654n""","=""L6097""",
Ca,1,"=""335.021""","=""0.010""","=""11""","=""8.90e+07""",C,"=""1.8858075""","=""5.5855401""","=""3p6.4s.4p""","=""3P*""","=""1""","=""3p6.4s.6d""","=""3D""","=""2""",,"=""T539n,T654n""","=""L6097""",
Ca,1,"=""335.036""","=""0.010""","=""9""","=""3.33e+07""",C,"=""1.8858075""","=""5.5853732""","=""3p6.4s.4p""","=""3P*""","=""1""","=""3p6.4s.6d""","=""3D""","=""1""",,"=""T539n,T654n""","=""L6097""",
C,2,"=""335.3302""","=""0.0009""","=""21h""","=""3.0e+07""",C,"=""24.653514""","=""28.349833""","=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""","=""2s.2p.(3P*).5p""","=""4S""","=""3/2""",,"=""T10528""","=""L1176""",
C,2,"=""336.0891""","=""0.0007""","=""27""","=""4.52e+06""",B,"=""18.045807""","=""21.733778""","=""2s2.3d""","=""2D""","=""3/2""","=""2s2.5p""","=""2P*""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""336.1051""","=""0.0007""","=""88""","=""4.08e+07""",B,"=""18.045987""","=""21.733778""","=""2s2.3d""","=""2D""","=""5/2""","=""2s2.5p""","=""2P*""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""336.1721""","=""0.0007""","=""54""","=""2.26e+07""",B,"=""18.045807""","=""21.732863""","=""2s2.3d""","=""2D""","=""3/2""","=""2s2.5p""","=""2P*""","=""1/2""",,"=""T5109LS""","=""L1176""",
Ca,1,"=""336.192""","=""0.010""","=""12""","=""1.56e+08""",C,"=""1.8989349""","=""5.5857825""","=""3p6.4s.4p""","=""3P*""","=""2""","=""3p6.4s.6d""","=""3D""","=""3""",,"=""T539n,T654n""","=""L6097""",
Ca,1,"=""336.214""","=""0.010""","=""9""","=""3.2e+07""",C,"=""1.8989349""","=""5.5855401""","=""3p6.4s.4p""","=""3P*""","=""2""","=""3p6.4s.6d""","=""3D""","=""2""",,"=""T539n,T654n""","=""L6097""",
O,2,"=""337.7146""","=""0.0010""","=""21""","=""2.66e+08""",C+,"=""25.2856211""","=""28.955839""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""1/2""",,"=""T6172,T6632""","=""L10621""",
O,2,"=""339.0209""","=""0.0010""","=""23""","=""5.24e+08""",C+,"=""25.2856211""","=""28.941697""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""",,"=""T6172,T6632""","=""L10621""",
C,2,"=""339.2146""","=""0.0007""","=""20""","=""4.8e+07""",C,"=""24.602961""","=""28.256950""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""","=""2s.2p.(3P*).5p""","=""2P""","=""3/2""",,"=""T10528""","=""L1176""",
C,2,"=""339.3946""","=""0.0007""","=""16""","=""2.8e+07""",C,"=""24.601624""","=""28.253674""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""","=""2s.2p.(3P*).5p""","=""2P""","=""1/2""",,"=""T10528""","=""L1176""",
C,2,"=""340.153""","=""0.009""","=""12H""","=""2.6e+07""",C,"=""25.067108""","=""28.71107""","=""2s.2p.(3P*).3d""","=""2P*""","=""3/2""","=""2s.2p.(3P*).5f""","=""2D""","=""3/2""",,"=""T10528""","=""L1176""",
C,2,"=""340.433""","=""0.004""","=""15H,u""","=""1.3e+08""",C,"=""25.070170""","=""28.71107""","=""2s.2p.(3P*).3d""","=""2P*""","=""1/2""","=""2s.2p.(3P*).5f""","=""2D""","=""3/2""",,"=""T10528""","=""L1176""",
O,2,"=""340.7273""","=""0.0010""","=""17""","=""6.12e+08""",C,"=""28.509803""","=""32.147566""","=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""5/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""340.9710""","=""0.0010""","=""16""","=""3.91e+08""",C,"=""28.512453""","=""32.147624""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""3/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""347.0281""","=""0.0010""","=""20""","=""2.18e+08""",B,"=""26.2254001""","=""29.797124""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).4s""","=""2P""","=""1/2""",,"=""T6632""","=""L10621""",
O,2,"=""347.0676""","=""0.0010""","=""21""","=""3.45e+08""",B,"=""26.2490334""","=""29.820351""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).4s""","=""2P""","=""3/2""",,"=""T6632""","=""L10621""",
O,2,"=""347.4926""","=""0.0010""","=""5""","=""1.44e+06""",C,"=""25.2856211""","=""28.8525664""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""1/2""",,"=""T6172""","=""L10621""",
O,2,"=""348.8173""","=""0.0010""","=""4""","=""7.12e+05""",C,"=""25.2856211""","=""28.8390335""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""4P""","=""1/2""",,"=""T6172""","=""L10621""",
O,2,"=""349.6276""","=""0.0010""","=""8""","=""2.28e+06""",C,"=""25.2856211""","=""28.8307832""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""",,"=""T6172""","=""L10621""",
C,2,"=""358.1763""","=""0.0007""","=""21""","=""1.18e+07""",B,"=""22.529299""","=""25.989855""","=""2s.2p.(3P*).3p""","=""4D""","=""3/2""","=""2s.2p.(3P*).4s""","=""4P*""","=""5/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""358.4977""","=""0.0007""","=""57""","=""1.06e+08""",B,"=""22.532400""","=""25.989855""","=""2s.2p.(3P*).3p""","=""4D""","=""5/2""","=""2s.2p.(3P*).4s""","=""4P*""","=""5/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""358.5809""","=""0.0007""","=""20""","=""1.96e+07""",B,"=""22.527518""","=""25.984173""","=""2s.2p.(3P*).3p""","=""4D""","=""1/2""","=""2s.2p.(3P*).4s""","=""4P*""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""358.7657""","=""0.0007""","=""44""","=""1.25e+08""",B,"=""22.529299""","=""25.984173""","=""2s.2p.(3P*).3p""","=""4D""","=""3/2""","=""2s.2p.(3P*).4s""","=""4P*""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""358.8915""","=""0.0007""","=""34""","=""9.84e+07""",B+,"=""22.527518""","=""25.981185""","=""2s.2p.(3P*).3p""","=""4D""","=""1/2""","=""2s.2p.(3P*).4s""","=""4P*""","=""1/2""",,"=""T2440""","=""L1176""",
C,2,"=""358.9657""","=""0.0007""","=""96""","=""4.68e+08""",B,"=""22.536905""","=""25.989855""","=""2s.2p.(3P*).3p""","=""4D""","=""7/2""","=""2s.2p.(3P*).4s""","=""4P*""","=""5/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""359.082""","=""0.003""","=""150*""","=""9.90e+07""",B+,"=""22.529299""","=""25.981185""","=""2s.2p.(3P*).3p""","=""4D""","=""3/2""","=""2s.2p.(3P*).4s""","=""4P*""","=""1/2""",,"=""T2440""","=""L21568,L1176""",
C,2,"=""359.082""","=""0.003""","=""150*""","=""2.49e+08""",B+,"=""22.532400""","=""25.984173""","=""2s.2p.(3P*).3p""","=""4D""","=""5/2""","=""2s.2p.(3P*).4s""","=""4P*""","=""3/2""",,"=""T2440""","=""L21568,L1176""",
Ca,1,"=""362.411""","=""0.010""","=""15""","=""6.36e+07""",C+,"=""1.8793402""","=""5.2994568""","=""3p6.4s.4p""","=""3P*""","=""0""","=""3p6.4s.5d""","=""3D""","=""1""",,"=""T539n,T654n,LS""","=""L6097""",
Ca,1,"=""363.075""","=""0.010""","=""17""","=""1.48e+08""",C+,"=""1.8858075""","=""5.2996694""","=""3p6.4s.4p""","=""3P*""","=""1""","=""3p6.4s.5d""","=""3D""","=""2""",,"=""T539n,T654n,LS""","=""L6097""",
Ca,1,"=""363.097""","=""0.010""","=""14""","=""4.59e+07""",C+,"=""1.8858075""","=""5.2994568""","=""3p6.4s.4p""","=""3P*""","=""1""","=""3p6.4s.5d""","=""3D""","=""1""",,"=""T539n,T654n,LS""","=""L6097""",
Ca,1,"=""364.441""","=""0.010""","=""20""","=""2.48e+08""",C+,"=""1.8989349""","=""5.3000005""","=""3p6.4s.4p""","=""3P*""","=""2""","=""3p6.4s.5d""","=""3D""","=""3""",,"=""T539n,T654n,LS""","=""L6097""",
Ca,1,"=""364.477""","=""0.010""","=""14""","=""4.7e+07""",C+,"=""1.8989349""","=""5.2996694""","=""3p6.4s.4p""","=""3P*""","=""2""","=""3p6.4s.5d""","=""3D""","=""2""",,"=""T539n,T654n,LS""","=""L6097""",
Ca,1,"=""364.499""","=""0.010""","=""8""","=""2.8e+06""",C+,"=""1.8989349""","=""5.2994568""","=""3p6.4s.4p""","=""3P*""","=""2""","=""3p6.4s.5d""","=""3D""","=""1""",,"=""T539n,T654n,LS""","=""L6097""",
Ca,2,"=""370.603""","=""0.010""","=""170""","=""1.8e+08""",C,"=""3.123349""","=""6.467875""","=""3p6.4p""","=""2P*""","=""1/2""","=""3p6.5s""","=""2S""","=""1/2""",,"=""T8043""","=""L7323""",
O,2,"=""371.2741""","=""0.0010""","=""25""","=""1.10e+08""",B,"=""22.9662478""","=""26.3047208""","=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""",,"=""T6172,T6632""","=""L10621""",
O,2,"=""372.7320""","=""0.0010""","=""27""","=""2.26e+08""",B,"=""22.9793029""","=""26.3047208""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""",,"=""T6172,T6632""","=""L10621""",
O,2,"=""372.9225""","=""0.0010""","=""14""","=""9.76e+07""",C,"=""28.823901""","=""32.147624""","=""2s2.2p2.(1D).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""3/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""373.5784""","=""0.0010""","=""15""","=""1.75e+08""",C,"=""28.829685""","=""32.147566""","=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""5/2""",,"=""T5723LS""","=""L10621""",
Ca,2,"=""373.690""","=""0.010""","=""180""","=""3.4e+08""",C,"=""3.150984""","=""6.467875""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.5s""","=""2S""","=""1/2""",,"=""T8043""","=""L7323""",
O,2,"=""373.9762""","=""0.0010""","=""20""","=""1.78e+08""",B,"=""26.3047208""","=""29.619076""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""5/2""",,"=""T6632""","=""L10621""",
O,2,"=""374.9486""","=""0.0010""","=""30""","=""3.59e+08""",B,"=""22.9989602""","=""26.3047208""","=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""",,"=""T6172,T6632""","=""L10621""",
O,2,"=""376.2465""","=""0.0010""","=""19""","=""1.24e+08""",B,"=""26.3047208""","=""29.599076""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""3/2""",,"=""T6632""","=""L10621""",
O,2,"=""377.7421""","=""0.0010""","=""16""","=""4.50e+07""",B,"=""26.3047208""","=""29.586034""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""1/2""",,"=""T6632""","=""L10621""",
O,2,"=""379.4361""","=""0.0010""","=""14""","=""2.74e+07""",C,"=""26.5536859""","=""29.820351""","=""2s2.2p2.(3P).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(3P).4s""","=""2P""","=""3/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""380.2985""","=""0.0010""","=""19""","=""1.36e+08""",C,"=""26.5610940""","=""29.820351""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).4s""","=""2P""","=""3/2""",,"=""T5723LS""","=""L10621""",
O,2,"=""381.3706""","=""0.0010""","=""6""","=""2.24e+05""",C,"=""22.9989602""","=""26.2490334""","=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""",,"=""T6172""","=""L10621""",
O,2,"=""382.1538""","=""0.0010""","=""15""","=""5.38e+07""",C,"=""26.5536859""","=""29.797124""","=""2s2.2p2.(3P).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(3P).4s""","=""2P""","=""1/2""",,"=""T5723LS""","=""L10621""",
O,1,"=""382.341""","=""0.010""","=""120""","=""4.64e+06""",C+,"=""12.5391924""","=""15.7810344""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""3""","=""2s2.2p3.(2P*).3p""","=""3D""","=""3""",,"=""T5713LS""","=""L3760""",
O,2,"=""383.0290""","=""0.0010""","=""13""","=""2.66e+07""",C,"=""26.5610940""","=""29.797124""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).4s""","=""2P""","=""1/2""",,"=""T5723LS""","=""L10621""",
C,2,"=""383.1743""","=""0.0017""","=""78hql""","=""1.22e+08""",B,"=""20.150477""","=""23.385281""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2D""","=""5/2""",,"=""T5109LS""","=""L1176,L4827""",
O,2,"=""383.3074""","=""0.0010""","=""12""","=""8.16e+06""",C,"=""25.6495863""","=""28.8832609""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""",,"=""T6172""","=""L10621""",
C,2,"=""383.5730""","=""0.0017""","=""26hql""","=""6.76e+07""",B,"=""20.149652""","=""23.381096""","=""2s2.4p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).3p""","=""2D""","=""3/2""",,"=""T5109LS""","=""L1176,L4827""",
O,2,"=""383.5855""","=""0.0010""","=""4""","=""1.47e+05""",C,"=""25.8373471""","=""29.0686699""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""",,"=""T6172""","=""L10621""",
C,2,"=""383.6683""","=""0.0017""","=""9hql""","=""1.36e+07""",B,"=""20.150477""","=""23.381096""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2D""","=""3/2""",,"=""T5109LS""","=""L1176""",
O,2,"=""384.2815""","=""0.0010""","=""15""","=""3.25e+07""",C,"=""25.6313478""","=""28.8568239""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""",,"=""T6172,T6632""","=""L10621""",
O,2,"=""384.3587""","=""0.0010""","=""14""","=""2.13e+07""",C,"=""25.6382319""","=""28.8630624""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""",,"=""T6172""","=""L10621""",
O,2,"=""384.7892""","=""0.0010""","=""14""","=""3.74e+07""",B+,"=""25.6313478""","=""28.8525664""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""1/2""",,"=""T6172,T6632""","=""L10621""",
O,2,"=""385.0797""","=""0.0010""","=""14""","=""2.04e+07""",C,"=""25.6382319""","=""28.8570199""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""",,"=""T6172,T6632""","=""L10621""",
O,2,"=""385.1032""","=""0.0010""","=""17""","=""6.08e+07""",B+,"=""25.6382319""","=""28.8568239""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""",,"=""T6172,T6632""","=""L10621""",
O,2,"=""385.1471""","=""0.0010""","=""15""","=""2.18e+07""",C,"=""25.6650368""","=""28.8832609""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""",,"=""T6172""","=""L10621""",
O,2,"=""385.6134""","=""0.0010""","=""16""","=""4.90e+07""",C+,"=""25.6382319""","=""28.8525664""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""1/2""",,"=""T6172,T6632""","=""L10621""",
O,2,"=""385.7166""","=""0.0010""","=""17""","=""3.95e+07""",C,"=""25.6495863""","=""28.8630624""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""",,"=""T6172""","=""L10621""",
C,2,"=""386.2181""","=""0.0007""","=""11""","=""1.9e+07""",C,"=""24.277795""","=""27.487106""","=""2s.2p.(3P*).3d""","=""4F*""","=""9/2""","=""2s.2p.(3P*).4f""","=""4D""","=""7/2""",,"=""T10528""","=""L1176""",
O,2,"=""386.3502""","=""0.0010""","=""17""","=""4.79e+07""",B+,"=""25.6495863""","=""28.8577953""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""",,"=""T6172,T6632""","=""L10621""",
O,2,"=""386.4125""","=""0.0010""","=""11""","=""1.82e+07""",C,"=""25.6313478""","=""28.8390335""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""4P""","=""1/2""",,"=""T6172""","=""L10621""",
O,2,"=""386.4426""","=""0.0010""","=""17""","=""1.24e+08""",B+,"=""25.6495863""","=""28.8570199""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""",,"=""T6172,T6632""","=""L10621""",
O,2,"=""386.4667""","=""0.0010""","=""16""","=""7.64e+07""",C+,"=""25.6495863""","=""28.8568239""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""",,"=""T6172,T6632""","=""L10621""",
C,2,"=""386.8874""","=""0.0017""","=""35h""","=""1.14e+08""",C,"=""24.274339""","=""27.478084""","=""2s.2p.(3P*).3d""","=""4F*""","=""7/2""","=""2s.2p.(3P*).4f""","=""2G""","=""9/2""",,"=""T10528""","=""L1176""",
C,2,"=""387.1669""","=""0.0017""","=""50h""","=""1.47e+08""",C+,"=""24.271876""","=""27.473311""","=""2s.2p.(3P*).3d""","=""4F*""","=""5/2""","=""2s.2p.(3P*).4f""","=""2G""","=""7/2""",,"=""T10528""","=""L1176""",
O,2,"=""387.2439""","=""0.0010""","=""10""","=""9.68e+05""",C,"=""25.6382319""","=""28.8390335""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4P""","=""1/2""",,"=""T6172""","=""L10621""",
O,2,"=""387.4092""","=""0.0010""","=""12""","=""1.30e+07""",C,"=""25.6313478""","=""28.8307832""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""",,"=""T6172""","=""L10621""",
C,2,"=""387.4666""","=""0.0017""","=""11h""","=""2.3e+07""",C,"=""24.274339""","=""27.473311""","=""2s.2p.(3P*).3d""","=""4F*""","=""7/2""","=""2s.2p.(3P*).4f""","=""2G""","=""7/2""",,"=""T10528""","=""L1176""",
O,2,"=""387.5796""","=""0.0010""","=""13""","=""2.03e+07""",C,"=""25.6650368""","=""28.8630624""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""",,"=""T6172""","=""L10621""",
C,2,"=""387.6055""","=""0.0007""","=""140""","=""1.28e+09""",B,"=""24.270232""","=""27.468054""","=""2s.2p.(3P*).3d""","=""4F*""","=""3/2""","=""2s.2p.(3P*).4f""","=""4G""","=""5/2""",,"=""T10528""","=""L1176""",
